id, ime pesmi, billboard, id-izvajalec, popularnost, vrsta projekta
3e9HZxeyfWwjeyPAMmWSSQ, thank u. next, ('Thank U, Next', 'Ariana Grande'), {'66CXWjxzNUsdJxJ2JdwvnR': 'Ariana Grande'}, 86, samostojen projekt
2DnH4XlEkghUdE8ymdVom5, Open Letter, ('Open Letter', 'Lil Wayne'), {'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}, 56, samostojen projekt
0ubdf6zWT1It2saK41SkO0, Problems, ('Problems', 'Lil Wayne'), {'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}, 54, samostojen projekt
5s6pKnF3ZPtuqvEx1i1V7U, Hittas, ('Hittas', 'Lil Wayne'), {'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}, 54, samostojen projekt
7EgI0dCaQuHFe3OTj5EpWI, Open Safe, ('Open Safe', 'Lil Wayne'), {'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}, 56, samostojen projekt
1Dk3CfJEtqvj7Xg2AWwfEn, Took His Time, ('Took His Time', 'Lil Wayne'), {'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}, 56, samostojen projekt
6y4pOReFqH2wzo4CV91cZC, Mess, ('Mess', 'Lil Wayne'), {'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}, 57, samostojen projekt
3BUWNzPWz2mDbptZmGEXpB, Let It All Work Out, ('Let It All Work Out', 'Lil Wayne'), {'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}, 61, samostojen projekt
68lOQPb5tX8U2cQRuas0L2, Used 2, ('Used 2', 'Lil Wayne'), {'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}, 57, samostojen projekt
1kaxyXcAi5ZHF3Q94QXsHK, Demon, ('Demon', 'Lil Wayne'), {'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}, 55, samostojen projekt
4E3qImtJzRqLt8ZZyLceOE, Perfect Strangers, ('Perfect Strangers', 'Lil Wayne'), {'55Aa2cqylxrFIXC767Z865': 'Lil Wayne'}, 55, samostojen projekt
0tgVpDi06FyKpA1z0VMD4v, Perfect, ('Perfect', 'Ed Sheeran'), {'6eUKZXaKkcviH0Ku9w2n3V': 'Ed Sheeran'}, 85, samostojen projekt
3CA9pLiwRIGtUBiMjbZmRw, Nice For What, ('Nice For What', 'Drake'), {'3TVXtAsR1Inumwj472S9r4': 'Drake'}, 80, samostojen projekt
6DCZcSspjsKoFjzjrWoCdn, God's Plan, ("God's Plan", 'Drake'), {'3TVXtAsR1Inumwj472S9r4': 'Drake'}, 83, samostojen projekt
6Poyf51k7W3NKnsGwAI90B, Barbie Dreams, ('Barbie Dreams', 'Nicki Minaj'), {'0hCNtLu0JehylgoiP8L4Gh': 'Nicki Minaj'}, 66, samostojen projekt
4VXIryQMWpIdGgYR4TrjT1, All Girls Are The Same, ('All Girls Are The Same', 'Juice WRLD'), {'4MCBfE4596Uoi2O4DtmEMz': 'Juice WRLD'}, 80, samostojen projekt
58QhkbaAkLFnn7JwAnAato, Fall, ('Fall', 'Eminem'), {'7dGJo4pcD2V6oG8kP0tJRR': 'Eminem'}, 72, samostojen projekt
